timestamp,direction,force,z,displacement,testno
1724836822.162591,DOWN,-0.092,inf,inf,2
1724836822.2586539,DOWN,-0.091,inf,inf,2
1724836822.354569,DOWN,-0.089,inf,inf,2
1724836822.4562979,DOWN,-0.088,inf,inf,2
1724836822.5626361,DOWN,-0.039,inf,inf,2
1724836822.658619,DOWN,0.05,inf,inf,2
1724836828.908752,UP,0.006,0,0,2
1724836829.070314,UP,0.01,inf,inf,2
1724836829.175545,UP,0.01,inf,inf,2
1724836829.255681,UP,0.013,inf,inf,2
1724836829.36173,UP,0.019,inf,inf,2
1724836829.457686,UP,0.026,inf,inf,2
1724836829.5502279,UP,0.032,inf,inf,2
1724836829.649743,UP,0.037,inf,inf,2
1724836829.761695,UP,0.042,inf,inf,2
1724836829.858367,UP,0.047,inf,inf,2
1724836829.953781,UP,0.051,inf,inf,2
1724836830.0560288,UP,0.054,inf,inf,2
1724836830.1617641,UP,0.056,inf,inf,2
1724836830.26404,UP,0.058,inf,inf,2
1724836830.369081,UP,0.061,inf,inf,2
1724836830.45593,UP,0.064,inf,inf,2
1724836830.561107,UP,0.068,inf,inf,2
1724836830.657662,UP,0.072,inf,inf,2
1724836830.7589529,UP,0.075,inf,inf,2
1724836830.849805,UP,0.079,inf,inf,2
1724836830.961864,UP,0.082,inf,inf,2
1724836831.074798,UP,0.086,inf,inf,2
1724836831.153907,UP,0.089,inf,inf,2
1724836831.24986,UP,0.092,inf,inf,2
1724836831.3607628,UP,0.095,inf,inf,2
1724836831.4693608,UP,0.097,inf,inf,2
1724836831.559019,UP,0.099,inf,inf,2
1724836831.647667,UP,0.101,inf,inf,2
1724836831.760679,UP,0.102,inf,inf,2
1724836831.856735,UP,0.104,inf,inf,2
1724836831.958977,UP,0.106,inf,inf,2
1724836832.048788,UP,0.107,inf,inf,2
1724836832.1608288,UP,0.109,inf,inf,2
1724836832.268472,UP,0.11,inf,inf,2
1724836832.359041,UP,0.111,inf,inf,2
1724836832.455067,UP,0.112,inf,inf,2
1724836832.5606341,UP,0.113,inf,inf,2
1724836832.66305,UP,0.114,inf,inf,2
1724836832.752783,UP,0.114,inf,inf,2
1724836832.848843,UP,0.115,inf,inf,2
1724836832.960813,UP,0.116,inf,inf,2
1724836833.056787,UP,0.117,inf,inf,2
1724836833.152815,UP,0.118,inf,inf,2
1724836833.248775,UP,0.118,inf,inf,2
1724836833.366689,UP,0.119,inf,inf,2
1724836833.456767,UP,0.12,inf,inf,2
1724836833.5591118,UP,0.12,inf,inf,2
1724836833.648597,UP,0.121,inf,inf,2
1724836833.7608168,UP,0.121,inf,inf,2
1724836833.856822,UP,0.121,inf,inf,2
1724836833.9528131,UP,0.121,inf,inf,2
1724836834.048511,UP,0.121,inf,inf,2
1724836834.1608598,UP,0.12,inf,inf,2
1724836834.256822,UP,0.119,inf,inf,2
1724836834.349504,UP,0.118,inf,inf,2
1724836834.448846,UP,0.117,inf,inf,2
1724836834.560852,UP,0.116,inf,inf,2
1724836834.669352,UP,0.114,inf,inf,2
1724836834.7529018,UP,0.112,inf,inf,2
1724836834.848819,UP,0.109,inf,inf,2
1724836834.96085,UP,0.106,inf,inf,2
1724836835.056813,UP,0.101,inf,inf,2
1724836835.152782,UP,0.098,inf,inf,2
1724836835.248605,UP,0.095,inf,inf,2
1724836835.376127,UP,0.092,inf,inf,2
1724836835.469279,UP,0.089,inf,inf,2
1724836835.5529962,UP,0.086,inf,inf,2
1724836835.6490371,UP,0.084,inf,inf,2
1724836835.761013,UP,0.081,inf,inf,2
1724836835.8568761,UP,0.079,inf,inf,2
1724836835.952779,UP,0.078,inf,inf,2
1724836836.048152,UP,0.076,inf,inf,2
1724836836.156163,UP,0.075,inf,inf,2
1724836836.268063,UP,0.074,inf,inf,2
1724836836.357897,UP,0.073,inf,inf,2
1724836836.466167,UP,0.073,inf,inf,2
1724836836.555966,UP,0.074,inf,inf,2
1724836836.658131,UP,0.074,inf,inf,2
1724836836.747861,UP,0.075,inf,inf,2
1724836836.866119,UP,0.077,inf,inf,2
1724836836.961047,UP,0.079,inf,inf,2
1724836837.051865,UP,0.081,inf,inf,2
1724836837.147879,UP,0.083,inf,inf,2
1724836837.259079,UP,0.086,inf,inf,2
1724836837.356226,UP,0.088,inf,inf,2
1724836837.453023,UP,0.09,inf,inf,2
1724836837.5488598,UP,0.092,inf,inf,2
1724836837.660793,UP,0.094,inf,inf,2
1724836837.76319,UP,0.096,inf,inf,2
1724836837.852936,UP,0.097,inf,inf,2
1724836837.9483619,UP,0.059,inf,inf,2
1724836838.053898,UP,-0.036,inf,inf,2
1724836843.4400132,DOWN,-0.011,0,0,3
1724836843.559422,DOWN,-0.017,inf,inf,3
1724836843.653365,DOWN,-0.018,inf,inf,3
1724836843.7593348,DOWN,-0.024,inf,inf,3
1724836843.856014,DOWN,-0.033,inf,inf,3
